model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,deadlift,00110,7,confidence,165,0.2727272727272727,0.4092080220506312,0.7103703703703704,0.14175188840847117,0.7727272727272727,0.8383838383838383
fact,deadlift,00110,7,pressure,165,0.2727272727272727,0.330953314711079,0.5525925925925925,0.248149241409377,0.7727272727272727,0.7575757575757576
fact,deadlift,00110,7,combined,165,0.2727272727272727,0.45513785743539525,0.6261111111111112,0.201733039047608,0.7651515151515151,0.7575757575757576
fact,deadlift,11110,123,confidence,50,0.38,0.6359758902328927,0.6027164685908319,0.4144129097311836,0.7,0.7333333333333334
fact,deadlift,11110,123,pressure,50,0.38,0.36598699546067964,0.43972835314091685,0.4495275389363948,0.6,0.5666666666666667
fact,deadlift,11110,123,combined,50,0.38,0.3413999965248429,0.4465195246179966,0.40808254828830587,0.575,0.5666666666666667
fact,deadlift,11110,42,confidence,50,0.48,0.4584407040911916,0.4310897435897435,0.6012049867368177,0.5,0.5666666666666667
fact,deadlift,11110,42,pressure,50,0.48,0.4278174603174603,0.4006410256410256,0.5422638762552967,0.475,0.4666666666666667
fact,deadlift,11110,42,combined,50,0.48,0.38605660939107683,0.3381410256410256,0.5426150670245828,0.44999999999999996,0.4
fact,deadlift,11110,7,confidence,50,0.58,0.5462967114621889,0.44334975369458135,0.669987955799365,0.375,0.43333333333333335
fact,deadlift,11110,7,pressure,50,0.58,0.5516121426466254,0.464696223316913,0.5762226013739068,0.375,0.4
fact,deadlift,11110,7,combined,50,0.58,0.5010650802947951,0.4039408866995074,0.646060557147084,0.32499999999999996,0.3666666666666667
fact,squat,000000,123,confidence,102,0.3431372549019608,0.5320000152880869,0.7189765458422175,0.22659561374864878,0.7037037037037037,0.819672131147541
fact,squat,000000,123,pressure,102,0.3431372549019608,0.5569773383929844,0.6168443496801705,0.26341509571467375,0.7037037037037037,0.7049180327868853
fact,squat,000000,123,combined,102,0.3431372549019608,0.4952407118147916,0.6899786780383795,0.19872185425294528,0.7037037037037037,0.7540983606557377
fact,squat,000000,42,confidence,102,0.43137254901960786,0.4944545023433091,0.6018808777429467,0.31665446034074973,0.5555555555555556,0.639344262295082
fact,squat,000000,42,pressure,102,0.43137254901960786,0.5848034112581635,0.6634012539184954,0.304090483435071,0.6419753086419753,0.6885245901639344
fact,squat,000000,42,combined,102,0.43137254901960786,0.5332230349067044,0.6700626959247649,0.2740320383786693,0.5925925925925926,0.6557377049180328
fact,squat,000000,7,confidence,102,0.4215686274509804,0.5971125702862733,0.6677177769018525,0.28769349253282783,0.6296296296296297,0.7049180327868853
fact,squat,000000,7,pressure,102,0.4215686274509804,0.715040556039188,0.7313756405202996,0.2609824211383568,0.6666666666666667,0.6557377049180328
fact,squat,000000,7,combined,102,0.4215686274509804,0.6219947929587912,0.753646038628301,0.21595990196537357,0.6296296296296297,0.7213114754098361
fact,squat,000001,123,confidence,330,0.3696969696969697,0.4758583898249318,0.5788146279949559,0.3922509265000094,0.6628787878787878,0.7474747474747474
fact,squat,000001,123,pressure,330,0.3696969696969697,0.7050859575665442,0.7991212168978562,0.21742741694509934,0.7310606060606061,0.8434343434343434
fact,squat,000001,123,combined,330,0.3696969696969697,0.704412325188982,0.7606793820933164,0.22943253392611251,0.7386363636363636,0.8282828282828283
fact,squat,000001,42,confidence,330,0.23030303030303031,0.3017395895335625,0.4642561127227517,0.34398044968807506,0.7992424242424243,0.797979797979798
fact,squat,000001,42,pressure,330,0.23030303030303031,0.3306067139046395,0.4900279734769996,0.23205065405789774,0.7954545454545454,0.7777777777777778
fact,squat,000001,42,combined,330,0.23030303030303031,0.3372458719326643,0.5228968089515127,0.2960770569569659,0.8068181818181819,0.7777777777777778
fact,squat,000001,7,confidence,330,0.3393939393939394,0.4388774939283655,0.5443152031454784,0.4030222619513737,0.7121212121212122,0.7222222222222222
fact,squat,000001,7,pressure,330,0.3393939393939394,0.517208562821183,0.6110337483617301,0.2921137418342833,0.7121212121212122,0.7272727272727273
fact,squat,000001,7,combined,330,0.3393939393939394,0.5821283371723277,0.6684960681520314,0.2859235628010955,0.7424242424242424,0.7575757575757576
fact,squat,000101,123,confidence,132,0.1590909090909091,0.2104476557875246,0.413985413985414,0.23329363343534934,0.8666666666666667,0.8354430379746836
fact,squat,000101,123,pressure,132,0.1590909090909091,0.14236926681948672,0.3232518232518232,0.22429816399091052,0.819047619047619,0.7721518987341772
